situation,law_domain
My landlord is not returning my security deposit after I vacated the flat,Rent Control Act
My employer has not paid my salary for the past 2 months,Payment of Wages Act
The product I bought online stopped working after 2 days,Consumer Protection Act
My neighbor is encroaching on my land and destroying my compound wall,IPC Section 441 (Criminal Trespass)
I was cheated by an online seller who took money but never delivered the product,IPC Section 420 (Cheating and Fraud)
My boss is forcing me to work more than 9 hours daily without overtime pay,Labour Law
The college is withholding my original certificates after I paid all fees,Consumer Protection Act
My husband is physically abusing me at home,Domestic Violence Act
I was wrongfully terminated from my job without any notice,Industrial Disputes Act
The builder took full payment but did not deliver the flat on time,RERA Act
My landlord entered my rented house without my permission,Rent Control Act
The company deducted money from my salary without any reason,Payment of Wages Act
I bought a refrigerator that stopped working within 3 months but company refuses warranty,Consumer Protection Act
My neighbor is playing loud music at night disturbing my peace,IPC Section 268 (Public Nuisance)
A person took loan from me and is refusing to repay it,IPC Section 406 (Criminal Breach of Trust)
My employer is not giving me maternity leave despite being pregnant,Maternity Benefit Act
The hospital charged me extra money beyond the quoted price for surgery,Consumer Protection Act
My landlord is threatening to evict me without proper notice,Rent Control Act
I was physically assaulted by my colleague at workplace,IPC Section 351 (Assault)
The school is demanding donation for admission which is illegal,Consumer Protection Act
My employer did not give me provident fund contributions,EPF Act
A fake company took money from me promising a job abroad,IPC Section 420 (Cheating and Fraud)
My wife is not allowing me to see my children after separation,Family Law
The electricity department gave me an abnormally high bill without reason,Consumer Protection Act
My contractor took advance money and disappeared without completing work,IPC Section 406 (Criminal Breach of Trust)
I was harassed by police without any valid reason or FIR,IPC Section 166 (Public Servant Disobeying Law)
My landlord is not providing basic amenities like water and electricity,Rent Control Act
The insurance company is refusing to settle my valid claim,Consumer Protection Act
My employer is discriminating against me based on my caste,SC ST Act
I received threats from a person over phone and messages,IPC Section 503 (Criminal Intimidation)
My land was illegally occupied by a powerful person in my village,IPC Section 441 (Criminal Trespass)
The bank charged hidden fees on my loan without informing me,Consumer Protection Act
My employer is not giving me annual leave despite working for 2 years,Labour Law
A person is spreading false rumors about me in my community,IPC Section 499 (Defamation)
My business partner cheated me and took all the money,IPC Section 406 (Criminal Breach of Trust)
The government office is asking for bribe to process my application,Prevention of Corruption Act
My employer paid me less than minimum wage,Minimum Wages Act
I was cheated by a matrimonial website that showed fake profiles,IPC Section 420 (Cheating and Fraud)
My landlord is forcibly trying to evict me before lease period ends,Rent Control Act
The doctor performed wrong surgery on me causing permanent damage,Consumer Protection Act
My employer is not giving me appointment letter or salary slip,Labour Law
A person took my vehicle on rent and is refusing to return it,IPC Section 406 (Criminal Breach of Trust)
I was denied promotion due to my gender,Labour Law
The bank is charging excessive interest rate on my personal loan,Consumer Protection Act
My employer is forcing me to sign blank documents,Labour Law
I received defective goods from an online shopping website,Consumer Protection Act
My neighbor constructed a building that blocks sunlight and air to my house,IPC Section 268 (Public Nuisance)
A person is stalking me and following me everywhere,IPC Section 354D (Stalking)
My employer terminated me while I was on medical leave,Industrial Disputes Act
The travel agency took money for a tour package but cancelled without refund,Consumer Protection Act
My landlord is harassing me to vacate the house before lease ends,Rent Control Act
I was given wrong medicine by the pharmacist causing health issues,Consumer Protection Act
My employer is not giving me experience letter after resignation,Labour Law
A money lender is charging very high interest and threatening me,Money Lending Act
My colleague is sexually harassing me at workplace,POSH Act
The builder is selling the same flat to multiple buyers,IPC Section 420 (Cheating and Fraud)
I was injured in a road accident caused by a drunk driver,Motor Vehicles Act
My employer did not give gratuity after 5 years of service,Gratuity Act
A person forged my signature on important documents,IPC Section 463 (Forgery)
My child was physically punished by the school teacher,RTE Act
The telecom company is charging for services I never subscribed to,Consumer Protection Act
My employer is making me work on public holidays without extra pay,Labour Law
A neighbor is dumping garbage in front of my house regularly,IPC Section 268 (Public Nuisance)
I was overcharged at a restaurant beyond the menu price,Consumer Protection Act
My employer is not depositing ESI contributions despite deducting from salary,ESI Act
A person is using my photos without permission on social media,IT Act
My landlord is not giving me a rent receipt,Rent Control Act
The coaching center took fees but teachers stopped coming after 2 months,Consumer Protection Act
I was verbally abused and threatened by a government officer,IPC Section 166 (Public Servant Disobeying Law)
My employer changed my job location without my consent,Labour Law
A person borrowed my money promising high returns and disappeared,IPC Section 420 (Cheating and Fraud)
The restaurant served me contaminated food causing food poisoning,Consumer Protection Act
My employer is not allowing me to resign and threatening me,Labour Law
I received a fake duplicate product instead of the original I ordered,Consumer Protection Act
My neighbor is using abusive language towards me and my family,IPC Section 294 (Obscene Acts and Harassment)
A shopkeeper sold me expired medicine,Consumer Protection Act
My employer is videotaping me at workplace without consent,IT Act
I was cheated by a fake lawyer who took money and did nothing,IPC Section 420 (Cheating and Fraud)
The cinema hall did not refund my ticket despite technical issues,Consumer Protection Act
My landlord is not doing maintenance repairs despite multiple requests,Rent Control Act
I was wrongly accused of theft at my workplace,IPC Section 211 (False Criminal Charge)
My employer is not giving salary increment promised in appointment letter,Labour Law
A person hacked my bank account and transferred money,IT Act
I was cheated in a second hand vehicle deal,IPC Section 420 (Cheating and Fraud)
My employer is forcing me to work during weekly off days,Labour Law
The hospital discharged me and charged bills for treatment never given,Consumer Protection Act
My employer reduced my salary without any reason or notice,Payment of Wages Act
A person is misusing my Aadhaar card details,IT Act
I was denied entry to a public place based on my religion,IPC Section 153A (Promoting Enmity / Hate Speech)
My employer is not giving me a relieving letter,Labour Law
The builder did not provide promised amenities in the apartment,RERA Act
I received threatening messages on WhatsApp from an unknown person,IT Act
My employer is forcing me to work in unsafe conditions,Factories Act
A person is using my name and photo to create fake social media accounts,IT Act
My landlord disconnected electricity supply to force me to vacate,Rent Control Act
The gym took annual membership fees but shut down without notice,Consumer Protection Act
I was assaulted by a shopkeeper when I asked for bill,IPC Section 351 (Assault)
My employer is not giving me salary for extra hours worked,Payment of Wages Act
A person spread defamatory content about me on the internet,IT Act
My employer terminated me based on false accusations,Industrial Disputes Act
The school denied admission to my child without valid reason,RTE Act
My landlord is verbally abusing me and threatening me to vacate,Rent Control Act
I was cheated by a fake government scheme asking for registration fees,IPC Section 420 (Cheating and Fraud)
My employer is not allowing me to take medical leave,Labour Law
A contractor used substandard material in construction of my house,Consumer Protection Act
I was harassed by a creditor at my home demanding repayment,IPC Section 503 (Criminal Intimidation)
My employer is paying male and female employees differently for same work,Equal Remuneration Act
The bank refused to return my fixed deposit on maturity,Consumer Protection Act
My neighbor is blocking the common passage to my house,IPC Section 441 (Criminal Trespass)
I was pressured to give bribe for getting my legal document,Prevention of Corruption Act
My employer is not providing proper safety equipment at factory,Factories Act
A person is making prank calls repeatedly disturbing my peace,IT Act
My landlord is not allowing me to receive guests,Rent Control Act
The courier company lost my important documents and is not compensating,Consumer Protection Act
I was mistreated and abused at a government hospital,Consumer Protection Act
My employer deducted TDS but did not give Form 16,Income Tax Act
A person is blackmailing me with my private photos,IT Act
My child was denied scholarship despite qualifying,Right to Education
My employer is not giving me leave travel allowance,Labour Law
The taxi driver took a longer route and overcharged me,Consumer Protection Act
My employer is forcing me to do work outside my job description,Labour Law
A loan app is threatening and harassing me for repayment,IT Act
My landlord is not allowing me to sublet as per agreement,Rent Control Act
I was cheated by a fake online investment scheme,IPC Section 420 (Cheating and Fraud)
My employer did not pay bonus despite profits,Payment of Bonus Act
A person is trespassing into my agricultural land,IPC Section 441 (Criminal Trespass)
The internet service provider is not giving promised speed,Consumer Protection Act
My employer is discriminating against me because of my pregnancy,Maternity Benefit Act
I was denied water connection by the local authority without reason,Consumer Protection Act
My employer did not pay notice period salary,Payment of Wages Act
A person damaged my vehicle deliberately out of personal enmity,IPC Section 427 (Mischief Causing Damage)
The doctor disclosed my medical records to others without my consent,Consumer Protection Act
My employer is not giving me promotion despite good performance,Labour Law
I was cheated by a fake real estate agent,IPC Section 420 (Cheating and Fraud)
My neighbor is burning garbage causing air pollution,IPC Section 268 (Public Nuisance)
The bank did not process my loan application despite all documents,Consumer Protection Act
My employer terminated a pregnant employee from work,Maternity Benefit Act
A person stole my mobile phone,IPC Section 379 (Theft)
My landlord is charging rent higher than the agreed amount,Rent Control Act
I was denied government job despite clearing all exams,Labour Law
My employer is not giving me weekly salary as promised,Payment of Wages Act
A person is constructing a building on my land illegally,IPC Section 441 (Criminal Trespass)
The mechanic charged for repairs that were never done on my car,Consumer Protection Act
My employer is forcing me to work night shifts without consent,Labour Law
I was assaulted and robbed on the street,IPC Section 392 (Robbery)
My landlord is not registering the rental agreement,Rent Control Act
The online platform deducted money from my account without authorization,IT Act
My employer terminated me because I filed a complaint against them,Industrial Disputes Act
A person is spreading caste based discrimination in my area,SC ST Act
I was given a lower grade than deserved at university,Consumer Protection Act
My employer is not giving salary slips despite repeated requests,Labour Law
A person entered my house without permission and stole valuables,IPC Section 380 (Theft in a Dwelling House)
The cable operator disconnected my connection without notice,Consumer Protection Act
My employer is forcing me to give kickbacks for getting projects,Prevention of Corruption Act
I was injured due to a pothole on a government road,Consumer Protection Act
My employer did not give me increment as per appraisal letter,Labour Law
A person took my gold jewellery as security for loan and is not returning it,IPC Section 406 (Criminal Breach of Trust)
The real estate developer cancelled my booking and refused refund,RERA Act
My employer is making me work without proper break time,Factories Act
I was wrongly issued a challan by traffic police,Motor Vehicles Act
My landlord removed the main door lock while I was away,Rent Control Act
A person forged my property documents and sold my land,IPC Section 463 (Forgery)
The hospital refused to treat my emergency patient demanding advance payment,Consumer Protection Act
My employer is not giving me superannuation benefits,Labour Law
I was cheated by a fake job placement agency,IPC Section 420 (Cheating and Fraud)
My neighbor is illegally tapping my water connection,IPC Section 379 (Theft)
